MO_ID_use,MOAge,Z_MOAge,HholdIncome,IncomeLog,MU_InvestAny,Hhold_AnnMove,Z_AnnMove,MatRes,PatRes,OthRes,Boat_dum,MOSells_Occup,MOEdu_dum,MONum_Marriages,FatherPresent,MO_LostChild_dum,MO_NumCldLiv,Z_MO_NumCldLiv,MO_AgeFirstBirth,Z_MO_AgeFirstBirth,IBI_AfterFirst,Z_IBI_AfterFirst,MO_Firstborn_dum,MO_NumSibs,Z_MO_NumSibs,MO_NumSisters,Z_MO_NumSisters,MO_NumBro_Total,Z_MO_NumBro_Total,MO_Num_OlderBro,Z_MO_Num_OlderBro,MO_Num_YoungBro,Z_MO_Num_YoungBro,Num_Alloparents,Z_Num_Alloparents,MU_BirthOrder,AgeDiff_MOMU,MU_Direct,MU_Indirect_dum,MU_GiveFood_dum,MU_GiveClothes_dum,MU_GiveTreat_dum,MU_PayMg_dum,MU_Firstborn_dum,MU_Lastborn_dum,MU_Midborn_dum,MUMO_SameLocation_dum,MU_Boat,MU_Married,MU_HasChild_dum,MU_Older_dum
51,28,-1.005375435,124800,11.73446773,1,2,1.000494634,0,0,1,1,0,0,1,1,1,2,-1.075774825,20,0.796152336,1,-0.657801954,1,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,1,-0.245281141,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1
52,27,-1.076799265,104000,11.55214618,0,3,1.840910127,1,0,0,1,0,0,1,1,0,2,-1.075774825,20,0.796152336,4.5,0.001516895,1,5,-0.633837819,2,-1.020405664,3,-0.009112654,0,-0.988793234,3,0.763216527,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,55,0.923067974,143000,11.87059991,0,3,1.840910127,1,0,0,1,0,0,1,1,0,6,0.877361024,20,0.796152336,1,-0.657801954,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,60,1.280187124,73000,11.19821472,1,0,-0.680336351,0,0,1,0,1,0,1,0,0,3,-0.587490862,20,0.796152336,34,5.558632911,0,8,0.435548592,4,0.137792006,4,0.557694443,4,2.012022052,0,-1.027406864,0,-0.750963494,1,-30,0,1,1,1,0,1,1,0,1,0,0,1,0,0
55,26,-1.148223095,152400,11.93426392,0,0,-0.680336351,0,1,0,1,1,0,2,1,1,1,-1.564058787,21,1.0769595,2.5,-0.375236733,0,12,1.861397141,7,1.875088511,5,1.12450154,3,1.261818231,2,0.166342064,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,30,-0.862527775,104000,11.55214618,1,0,-0.680336351,1,1,0,1,0,0,1,1,0,3,-0.587490862,22,1.357766664,3,-0.281048326,1,9,0.792010729,6,1.295989676,3,-0.009112654,0,-0.988793234,3,0.763216527,0,-0.750963494,2,-8,1,0,0,0,0,0,0,0,1,1,1,0,0,0
57,40,-0.148289476,180000,12.10071213,1,2,1.000494634,1,0,0,1,0,0,2,1,0,5,0.389077062,22,1.357766664,3,-0.281048326,0,5,-0.633837819,2,-1.020405664,3,-0.009112654,3,1.261818231,0,-1.027406864,0,-0.750963494,1,-6,1,0,0,0,0,0,1,0,1,1,1,1,1,0
58,35,-0.505408625,54600,10.90778916,0,0,-0.680336351,1,0,0,0,0,0,1,1,1,1,-1.564058787,22,1.357766664,7,0.47245893,0,2,-1.703224231,0,-2.178603335,2,-0.575919752,1,-0.238589412,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,26,-1.148223095,36000,10.49127422,1,2,1.000494634,1,0,0,1,0,0,1,1,0,1,-1.564058787,24,1.919380992,2,-0.46942514,0,5,-0.633837819,3,-0.441306829,2,-0.575919752,1,-0.238589412,1,-0.4305324,0,-0.750963494,5,4,1,1,1,0,1,0,0,1,0,1,1,1,1,1
60,39,-0.219713306,143000,11.87059991,1,0,-0.680336351,0,0,1,1,0,0,1,1,0,3,-0.587490862,26,2.48099532,3,-0.281048326,0,7,0.079086455,3,-0.441306829,4,0.557694443,3,1.261818231,1,-0.4305324,1,-0.245281141,5,7,1,0,0,0,0,0,0,0,1,0,1,1,1,1
61,35,-0.505408625,93600,11.44678566,0,0,-0.680336351,1,0,0,0,1,0,1,0,1,2,-1.075774825,26.41666667,2.597998306,1.416666667,-0.579311615,0,7,0.079086455,2,-1.020405664,5,1.12450154,3,1.261818231,2,0.166342064,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
